nanoId,country,region,province,department,village
jxmbyupsh1rv,BF,Centre Nord,Sanmatenga,KAYA,Basberike
DY4nWRvFhejq,BF,Centre Nord,Sanmatenga,KAYA,Bissiga
thq-rpJANaBw,BF,Centre Nord,Sanmatenga,KAYA,Tangasgo
9HMBI-OmVmIB,BF,Plateau Central,Ganzourgou,ZORGHO,Souka
jZGa2a8jve1q,BF,Plateau Central,Ganzourgou,ZORGHO,Bougré
rdHnV6gWoylr,BF,Plateau Central,Ganzourgou,ZORGHO,Tintog-Nabitenga
vOEauVq4Jwjf,BF,Plateau Central,Ganzourgou,ZORGHO,Bangbily
7A0UOIVZZNAf,BF,Plateau Central,Ganzourgou,ZORGHO,Waguésse
54vWZV7PHuun,BF,Plateau Central,Ganzourgou,ZORGHO,Zeguedega
1nM1cPOFT-vp,BF,Plateau Central,Ganzourgou,ZORGHO,Tamasgo de Bougré
91dD3WPcCBzN,BF,Plateau Central,Ganzourgou,ZORGHO,Douré
0nrdAnnLHhLW,BF,Plateau Central,Ganzourgou,ZORGHO,Tuiré
ex496Gk4LLcJ,BF,Plateau Central,Ganzourgou,ZORGHO,Tuiré-Peulh
8LMm0zrKVwh_,BF,Plateau Central,Ganzourgou,ZORGHO,Tuiré-peulh
JUTWzPLNCi4K,BF,Plateau Central,Ganzourgou,ZORGHO,Bissiga
s4G43fWTyAL3,BF,Plateau Central,Ganzourgou,ZORGHO,Signonghin
kchozKmVyRSV,BF,Plateau Central,Ganzourgou,ZORGHO,Godin
0IWAueKH968O,BF,Plateau Central,Ganzourgou,ZORGHO,Bissaga
SQLR5Cc5r6NR,BF,Plateau Central,Ganzourgou,ZORGHO,Nabmassa
3f4cBlLYxv7C,BF,Plateau Central,Ganzourgou,ZORGHO,Songdin
X35oO-Fi387m,BF,Plateau Central,Ganzourgou,ZORGHO,Nabinkins
6j2mUs-SDgOF,BF,Plateau Central,Ganzourgou,ZORGHO,Kolongkom
4J-zdNyMH1iG,BF,Plateau Central,Ganzourgou,ZORGHO,Gondin
Yi2r0MtrD1G6,BF,Plateau Central,Ganzourgou,ZORGHO,Digré
BcY_aniic3Pw,BF,Plateau Central,Ganzourgou,ZORGHO,Gonkin
gFa8Yt_zja9N,BF,Plateau Central,Ganzourgou,ZORGHO,Tintogo
EJi7BNqZ7w2s,BF,Plateau Central,Ganzourgou,ZORGHO,Zinado
bmuFSasYLnUi,BF,Plateau Central,Ganzourgou,ZORGHO,Zempassogo
byI-ShP44Lxb,BF,Plateau Central,Ganzourgou,ZORGHO,Yougoulmandé
UCos06EMcK4g,BF,Plateau Central,Ganzourgou,ZORGHO,Kourgou
VutDjDuqaGPx,BF,Plateau Central,Ganzourgou,ZORGHO,Soubdougou
TgTdfkFauSQr,BF,Plateau Central,Ganzourgou,ZORGHO,Tampelcé
qECbKVPBGazn,BF,Plateau Central,Ganzourgou,ZORGHO,Bokin koudgo
WVjS7cKCD4sU,BF,Plateau Central,Ganzourgou,ZORGHO,Torodo
N7pvKr3jjVOl,BF,Plateau Central,Ganzourgou,ZORGHO,Tourgoum-Tenga
zL33E-MwOPkr,BF,Plateau Central,Ganzourgou,ZORGHO,Tamasgo de torodo
dW6U4MnkYuhS,BF,Plateau Central,Ganzourgou,ZORGHO,Zainga
F_fZdJ2UBOg7,BF,Plateau Central,Ganzourgou,ZORGHO,Daguintoéga
oTjj_6hxHZwj,BF,Plateau Central,Ganzourgou,ZORGHO,Kologuessom
WdeMgLsYCVU9,BF,Plateau Central,Ganzourgou,ZORGHO,Koulgmasga
HDL_0fTLifB1,BF,Plateau Central,Ganzourgou,ZORGHO,Kidiba
BIAhed_VguT0,BF,Plateau Central,Ganzourgou,ZORGHO,Nabitenga
vkeBpGQsm0If,BF,Plateau Central,Ganzourgou,ZORGHO,Dabèga
Wah1hfg43z3i,BF,Plateau Central,Ganzourgou,ZORGHO,Taga
2ppc-ZAEYPMU,BF,Plateau Central,Ganzourgou,ZORGHO,Koubéogo
gDT-av2RBiNf,BF,Plateau Central,Ganzourgou,ZORGHO,Imiga
Fi7DotZnjkL7,BF,Plateau Central,Ganzourgou,ZORGHO,Boangtenga
2UKjCUrA9Mu3,BF,Plateau Central,Ganzourgou,ZORGHO,Tamidou
ApqW95yGiAOl,BF,EST,Gnagna,THION,Nawèga
gfx_oFWzvSWd,BF,EST,Gnagna,THION,Harga
_OaMHqp38xmu,BF,EST,Gnagna,THION,Laranga
2dgiXlw4H_fu,BF,EST,Gnagna,THION,Dimkoura
LIqBoa0k0qA7,BF,EST,Gnagna,THION,Doyana
ANFJ08IYRjYd,BF,EST,Gnagna,THION,Sekoussi
CLeJro_8Nxko,BF,EST,Gnagna,THION,Banogo
AIwjgmbj5vqA,BF,EST,Gnagna,THION,Diapalga
YQE9GSoHB7Ns,BF,EST,Gnagna,THION,Siéssin
cWaMVZfOco_f,BF,EST,Gnagna,THION,Diaka
honF7vYdauVv,BF,EST,Gnagna,THION,Bangaye
QRjNOPeBC9bY,BF,EST,Gnagna,THION,Tambiri
P9duZ8OYJ74X,BF,EST,Gnagna,THION,Tipolga
s2YC5GAYbnXG,BF,EST,Gnagna,THION,Obdaga
EtRT2bu0oLfR,BF,EST,Gnagna,THION,Kamissi
xuB5zhQihDUz,BF,EST,Gnagna,THION,Bangayeni
nLmNDzBAfQAh,BF,EST,Gnagna,THION,Lelcom
AoSRMkx_eioO,BF,EST,Gnagna,THION,Balamba
-wWAXWnLb-br,BF,EST,Gnagna,THION,Dioro
NawDFzPdhj8N,BF,EST,Gnagna,THION,Yargoun
HZEuhnBq8nxB,BF,EST,Gnagna,THION,Dioro-Folgou
thdP3LO2djA8,BF,Est,Gnagna,THION,Bogmissi
Qllv6IsC3HTr,BF,EST,Gnagna,THION,3
Qvyw1BHGv3ED,BF,EST,Gnagna,THION,Bogmissi
VQq7gI6hNhPu,BF,Centre Nord,Sanmatenga,BOUSSOUMA,GOARAGUI
2HfYgPcXQK6R,BF,Centre Nord,Sanmatenga,BOUSSOUMA,GUILLA
WZTpY6o5jLP2,BF,Centre Nord,Sanmatenga,BOUSSOUMA,TANHOKO
KvyDOSDR2XIc,BF,Plateau Central,Oubritenga,ZITENGA,Tizilinziogo
2vdBQ1Sh4gHU,BF,Plateau Central,Oubritenga,ZITENGA,Lélexé
3BYonM5IuQTy,BF,Plateau Central,Oubritenga,ZITENGA,Bissiga Yarcé
HWJQ4SVJPNx1,BF,Plateau Central,Oubritenga,ZITENGA,Nioniopalogo
byfkAvTMbg4K,BF,Plateau Central,Oubritenga,ZITENGA,Kogmasgo
1v0iZX1GAmUr,BF,Plateau Central,Oubritenga,ZITENGA,Zakin
D8wAMNI23msz,BF,Plateau Central,Oubritenga,ZITENGA,Banguissom
o2h5lyRH6IcI,BF,Plateau Central,Oubritenga,ZITENGA,Komnongo
3vmRLPRYoKIP,BF,Plateau Central,Oubritenga,ZITENGA,Dayagretenga
